Scenario;Replication;InfectedArrivals;FalsePositives;DestInTime;TimeInQueue;AirportResources
Scenario20;1;0;0;0,990652135;0,163569445;0
Scenario20;2;0;0;0,990725836;0,163975068;0
Scenario20;3;1;0;0,990858746;0,165737832;0
Scenario20;4;2;0;0,99100669;0,166059707;0
Scenario20;5;2;0;0,991124828;0,166682099;0
Scenario20;6;2;0;0,991183767;0,167004256;0
Scenario20;7;2;0;0,991670974;0,167340135;0
Scenario20;8;4;0;0,991685864;0,168350246;0
Scenario20;9;4;0;0,991833661;0,16846335;0
Scenario20;10;5;0;0,991892491;0,169639493;0
Scenario21;1;2;0;0,990652135;0,163569445;0
Scenario21;2;2;0;0,990725836;0,163975068;0
Scenario21;3;4;0;0,990858746;0,164705075;0
Scenario21;4;4;0;0,991050992;0,165737832;0
Scenario21;5;5;0;0,991124828;0,166682099;0
Scenario21;6;5;0;0,991183767;0,167004256;0
Scenario21;7;5;0;0,991670974;0,167340135;0
Scenario21;8;7;0;0,991685864;0,168350246;0
Scenario21;9;10;0;0,991833661;0,16846335;0
Scenario21;10;12;0;0,991892491;0,169639493;0
Scenario22;1;2;0;0,990652135;0,163569445;0
Scenario22;2;3;0;0,990725836;0,163975068;0
Scenario22;3;5;0;0,990858746;0,164705075;0
Scenario22;4;5;0;0,991050992;0,165737832;0
Scenario22;5;7;0;0,991124828;0,166682099;0
Scenario22;6;7;0;0,991183767;0,167004256;0
Scenario22;7;8;0;0,991670974;0,167340135;0
Scenario22;8;8;0;0,991685864;0,168350246;0
Scenario22;9;14;0;0,991833661;0,16846335;0
Scenario22;10;15;0;0,991892491;0,169639493;0
Scenario23;1;3;0;0,990652135;0,169639493;0
Scenario23;2;1;0;0,991685864;0,16846335;0
Scenario23;3;10;0;0,991892491;0,163569445;0
Scenario23;4;3;0;0,99100669;0,166059707;0
Scenario23;5;4;0;0,991183767;0,167340135;0
Scenario23;6;5;0;0,991124828;0,166682099;0
Scenario23;7;5;0;0,990725836;0,165737832;0
Scenario23;8;3;0;0,991833661;0,163975068;0
Scenario23;9;5;0;0,991670974;0,167004256;0
Scenario23;10;10;0;0,990858746;0,168350246;0
Scenario3;1;0;357;0,974795952;0,189272585;10
Scenario3;2;0;389;0,97490787;0,190136689;10
Scenario3;3;0;395;0,975307027;0,19020415;10
Scenario3;4;0;400;0,975827598;0,191287549;10
Scenario3;5;0;406;0,975846987;0,19173473;10
Scenario3;6;0;409;0,976039879;0,191843663;10
Scenario3;7;0;416;0,976163228;0,192108497;10
Scenario3;8;0;420;0,976544239;0,192855833;10
Scenario3;9;1;421;0,977236971;0,192935599;10
Scenario3;10;2;438;0,978596967;0,193645911;10
Scenario4;1;1;566;0,960489931;0,213557388;10
Scenario4;2;1;569;0,961167579;0,2164281;10
Scenario4;3;1;571;0,961728556;0,216765622;10
Scenario4;4;2;575;0,961930926;0,219545558;10
Scenario4;5;2;581;0,962487003;0,21983676;10
Scenario4;6;3;582;0,962699098;0,220104992;10
Scenario4;7;3;584;0,962720626;0,220117205;10
Scenario4;8;3;599;0,962769166;0,220631026;10
Scenario4;9;4;614;0,963679438;0,222382092;10
Scenario4;10;4;627;0,96448123;0,222849765;10
Scenario5;1;0;566;0,959892873;0,216765622;10
Scenario5;2;0;569;0,960489931;0,21705536;10
Scenario5;3;1;575;0,960863037;0,217321311;10
Scenario5;4;1;578;0,961167579;0,218575696;10
Scenario5;5;1;581;0,962054589;0,21983676;10
Scenario5;6;1;582;0,962699098;0,220104992;10
Scenario5;7;1;594;0,962720626;0,220117205;10
Scenario5;8;2;599;0,962769166;0,220631026;10
Scenario5;9;2;617;0,963220966;0,221233978;10
Scenario5;10;3;627;0,963679438;0,222849765;10
Scenario6;1;0;566;0,959357417;0,21705536;10
Scenario6;2;0;567;0,960822419;0,217752557;10
Scenario6;3;0;575;0,961167579;0,218712297;10
Scenario6;4;0;578;0,961170117;0,219317438;10
Scenario6;5;0;590;0,962010044;0,219450632;10
Scenario6;6;0;599;0,962032938;0,21978934;10
Scenario6;7;0;603;0,962699098;0,220104992;10
Scenario6;8;0;605;0,962769166;0,220631026;10
Scenario6;9;1;611;0,963220966;0,220781533;10
Scenario6;10;1;612;0,964494441;0,222849765;10
Scenario7;1;0;367;0,975;0,19025886;20
Scenario7;2;1;376;0,975499404;0,191077178;20
Scenario7;3;2;385;0,976291526;0,191291477;20
Scenario7;4;2;385;0,976431196;0,191297804;20
Scenario7;5;3;390;0,976724025;0,191329784;20
Scenario7;6;4;392;0,97674836;0,191786353;20
Scenario7;7;5;404;0,976977075;0,191967353;20
Scenario7;8;5;404;0,977840649;0,192469116;20
Scenario7;9;6;423;0,977893707;0,192474955;20
Scenario7;10;6;430;0,978217433;0,192708641;20
Scenario8;1;0;359;0,975;0,18942008;20
Scenario8;2;0;367;0,975105906;0,190935452;20
Scenario8;3;1;369;0,976291526;0,191077178;20
Scenario8;4;1;376;0,97668072;0,191166856;20
Scenario8;5;2;383;0,977268656;0,191786353;20
Scenario8;6;3;389;0,977564365;0,191786933;20
Scenario8;7;3;398;0,977569424;0,191880407;20
Scenario8;8;3;404;0,977840649;0,192708641;20
Scenario8;9;4;423;0,978140022;0,193167947;20
Scenario8;10;4;429;0,978409965;0,195298131;20
Scenario9;1;0;367;0,975038007;0,18942008;20
Scenario9;2;0;369;0,975105906;0,19001865;20
Scenario9;3;0;369;0,976186603;0,191166856;20
Scenario9;4;0;385;0,97668072;0,191880407;20
Scenario9;5;0;389;0,977076895;0,191929528;20
Scenario9;6;0;389;0,977268656;0,192605634;20
Scenario9;7;0;397;0,977348925;0,192716507;20
Scenario9;8;0;410;0,977569424;0,193167947;20
Scenario9;9;1;415;0,97767806;0,193318086;20
Scenario9;10;1;429;0,977898201;0,19441572;20
